#address type crate	slot	channel	name	number theta phi 	offset	gain  
0x00000802 100 0	8	2	name      98        0	1.040000    
0x00000803 100 0	8	3	name      99        0	1.071000    
0x00000804 100 0	8	4	name      100       0	1.085000    
0x00000805 100 0	8	5	name      101       0	1.068000    
0x00000806 100 0	8	6	name      102       0	1.047000    
0x00000807 100 0	8	7	name      103       0	1.058000    
0x00000808 100 0	8	8	name      104       0	1.089000    
0x00000809 100 0	8	9	name      105       0	1.072000    
0x0000080a 100 0	8	10	name    106         0	1.068000    
0x0000080b 100 0	8	11	name    107         0	1.065000    
0x0000080c 100 0	8	12	name    108         0	1.069000    
0x0000080d 100 0	8	13	name    109         0	1.050000    
0x0000080e 100 0	8	14	name    110         0	1.096000    
0x0000080f 100 0	8	15	name    111         0	1.113000    
                                                            		
0x00000900 100 0	9	0	name      112       0	1.177000    
0x00000901 100 0	9	1	name      113       0	1.136000    
0x00000902 100 0	9	2	name      114       0	1.153000    
0x00000903 100 0	9	3	name      115       0	1.182000    
0x00000904 100 0	9	4	name      116       0	1.209000    
0x00000905 100 0	9	5	name      117       0	1.160000    
0x00000906 100 0	9	6	name      118       0	1.194000    
0x00000907 100 0	9	7	name      119       0	1.190000    
0x00000908 100 0	9	8	name      120       0	1.000000    
0x00000909 100 0	9	9	name      121       0	1.000000    
0x0000090a 100 0	9	10	name    122         0	1.000000    
0x0000090b 100 0	9	11	name    123         0	1.000000    
0x0000090c 100 0	9	12	name    124         0	1.000000    
0x0000090d 100 0	9	13	name    125         0	1.000000    
0x0000090e 100 0	9	14	name    126         0	1.000000    
0x0000090f 100 0	9	15	name    127         0	1.000000    
                                                            		
0x00000a00 100 0	10	0	name    128         0	1.000000    
0x00000a01 100 0	10	1	name    129         0	1.000000    
0x00000a02 100 0	10	2	name    130         0	1.000000    
0x00000a03 100 0	10	3	name    131         0	1.000000    
0x00000a04 100 0	10	4	name    132         0	1.000000    
0x00000a05 100 0	10	5	name    133         0	1.000000    
0x00000a06 100 0	10	6	name    134         0	1.000000    
0x00000a07 100 0	10	7	name    135         0	1.000000    
0x00000a08 100 0	10	8	name    136         0	1.000000    
0x00000a09 100 0	10	9	name    137         0	1.000000    
0x00000a0a 100 0	10	10	name	138         0	1.000000    
0x00000a0b 100 0	10	11	name	139         0	1.000000    
0x00000a0c 100 0	10	12	name	140         0	1.000000    
0x00000a0d 100 0	10	13	name	141         0	1.000000    
0x00000a0e 100 0	10	14	name	142         0	1.000000    
0x00000a0f 100 0	10	15	name	143         0	1.000000    
                                                            		
0x00000b00 100 0	11	0	name    144         0	1.000000    
0x00000b01 100 0	11	1	name    145         0	1.000000    
0x00000b02 100 0	11	2	name    146         0	1.000000    
0x00000b03 100 0	11	3	name    147         0	1.000000    
0x00000b04 100 0	11	4	name    148         0	1.000000    
0x00000b05 100 0	11	5	name    149         0	1.000000    
0x00000b06 100 0	11	6	name    150         0	1.000000    
0x00000b07 100 0	11	7	name    151         0	1.000000    
0x00000b08 100 0	11	8	name    152         0	1.000000    
0x00000b09 100 0	11	9	name    153         0	1.000000    
0x00000b0a 100 0	11	10	name  154           0	1.000000    
0x00000b0b 100 0	11	11	name  155           0	1.000000    
0x00000b0c 100 0	11	12	name  156           0	1.000000    
0x00000b0d 100 0	11	13	name  157           0	1.000000    
0x00000b0e 100 0	11	14	name  158           0	1.000000    
0x00000b0f 100 0	11	15	name  159           0	1.000000    
                                                            		
0x00000c00 100 0	12	0	name    160         0	1.000000    
0x00000c01 100 0	12	1	name    161         0	1.000000    
0x00000c02 100 0	12	2	name    162         0	1.000000    
0x00000c03 100 0	12	3	name    163         0	1.000000    
0x00000c04 100 0	12	4	name    164         0	1.000000    
0x00000c05 100 0	12	5	name    165         0	1.000000    
0x00000c06 100 0	12	6	name    166         0	1.000000    
0x00000c07 100 0	12	7	name    167         0	1.000000    
0x00000c08 100 0	12	8	name    168         0	1.000000    
0x00000c09 100 0	12	9	name    169         0	1.000000    
0x00000c0a 100 0	12	10	name  170           0	1.000000    
0x00000c0b 100 0	12	11	name  171           0	1.000000    
0x00000c0c 100 0	12	12	name  172           0	1.000000    
0x00000c0d 100 0	12	13	name  173           0	1.000000    
0x00000c0e 100 0	12	14	name  174           0	1.000000    
0x00000c0f 100 0	12	15	name  175           0	1.000000    

0x00000d00 100 0	13	0	name    176          0	1.000000	   
0x00000d01 100 0	13	1	name    177          0	1.000000	   
0x00000d02 100 0	13	2	name    178          0	1.000000	   
0x00000d03 100 0	13	3	name    179          0	1.000000	   
0x00000d04 100 0	13	4	name    180          0	1.000000	   
0x00000d05 100 0	13	5	name    181          0	1.000000	   
0x00000d06 100 0	13	6	name    182          0	1.000000	   
0x00000d07 100 0	13	7	name    183          0	1.000000	   
0x00000d08 100 0	13	8	name    184          0	1.000000	   
0x00000d09 100 0	13	9	name    185          0	1.000000	   
0x00000d0a 100 0	13	10	name  186            0	1.000000	   
0x00000d0b 100 0	13	11	name  187            0	1.000000	   
0x00000d0c 100 0	13	12	name  188            0	1.000000	   
0x00000d0d 100 0	13	13	name  189            0	1.000000	   
0x00000d0e 100 0	13	14	name  190            0	1.000000	   
0x00000d0f 100 0	13	15	name  191            0	1.000000	   

0x00000e00 500 0	14	0	name    192           0	1.000000	    
0x00000e01 500 0	14	1	name    193           0	1.000000	  
0x00000e02 500 0	14	2	name    194           0	1.000000	  
0x00000e03 500 0	14	3	name    195           0	1.000000	  
0x00000e04 500 0	14	4	name    196           0	1.000000	   
0x00000e05 500 0	14	5	name    197           0	1.000000	  
0x00000e06 500 0	14	6	name    198           0	1.000000	   
0x00000e07 500 0	14	7	name    199           0	1.000000	  
0x00000e08 500 0	14	8	name    200           0	1.000000	  
0x00000e09 500 0	14	9	name    201           0	1.000000	  
0x00000e0a 500 0	14	10	name  202             0	1.000000	  
0x00000e0b 500 0	14	11	name  203             0	1.000000	  
0x00000e0c 500 0	14	12	name  204             0	1.000000	  
0x00000e0d 500 0	14	13	name  205             0	1.000000	  
0x00000e0e 500 0	14	14	name  206             0	1.000000	  
0x00000e0f 500 0	14	15	name  207             0	1.000000	  

